NAME,TYPE,MAG,SIZE,RA,DEC
NGC2567,cluster,7.4,10',08 18.5,-30 39
NGC2571,cluster,7,13',08 18.9,-29 45
NGC2613,Galaxy,10.3,7.1',08 33.4,-22 58
NGC2627,cluster,8.4,11',08 37.2,-29 57
NGC2655,Galaxy,10.1,4.9',08 55.6,+78 13
NGC2681,Galaxy,10.3,3.7',08 53.5,+51 19
NGC2683,Galaxy,9.8,8.8',08 52.7,+33 25
NGC2742,Galaxy,11.4,3',09 07.6,+60 29
NGC2768,Galaxy,9.9,8.2',09 11.6,+60 02
NGC2775,Galaxy,10.1,4.5',09 10.3,+07 02
NGC2782,Galaxy,11.6,3.7',09 14.1,+40 07
NGC2784,Galaxy,10.2,5.7',09 12.3,-24 10
NGC2787,Galaxy,10.8,3.1',09 19.3,+69 12
NGC2811,Galaxy,11.3,2.2',09 16.2,-16 19
NGC2835,Galaxy,10.5,6.3',09 17.9,-22 21
NGC2841,Galaxy,9.2,7.7',09 22.0,+50 59
NGC2859,Galaxy,10.9,4',09 24.3,+34 31
NGC2867,nebula,9.7,12'',09 21.4,-58 19
NGC2903,Galaxy,9,12',09 32.2,+21 30
NGC2950,Galaxy,10.9,2.7',09 42.6,+58 51
NGC2964,Galaxy,11.3,3',09 42.9,+31 51
NGC2974,Galaxy,10.9,3.4',09 42.6,-03 42
NGC2976,Galaxy,10.2,6.2',09 47.2,+67 55
NGC2985,Galaxy,10.4,4.6',09 50.4,+72 17
NGC2997,Galaxy,9.4,9.2',09 45.6,-31 11
NGC3077,Galaxy,9.9,5.2',10 03.3,+68 44
NGC3079,Galaxy,10.9,8.1',10 02.0,+55 41
NGC3109,Galaxy,9.9,19.7',10 03.1,-26 10
NGC3115,Galaxy,8.9,7.3',10 05.2,-07 43
NGC3132,nebula,8.2,84'',10 07.0,-40 26
NGC3147,Galaxy,10.6,4.3',10 16.9,+73 24
NGC3166,Galaxy,10.4,4.8',10 13.8,+03 26
NGC3169,Galaxy,10.2,4.2',10 14.2,+03 28
NGC3184,Galaxy,9.8,7.6',10 18.3,+41 25
NGC3190,Galaxy,11.1,4',10 18.1,+21 50
NGC3193,Galaxy,10.9,2.9',10 18.4,+21 54
NGC3198,Galaxy,10.3,8.1',10 19.9,+45 33
NGC3201,cluster,6.8,18.2',10 17.6,-46 25
NGC3226,Galaxy,11.4,2.5',10 23.4,+19 54
NGC3227,Galaxy,10.3,6.6',10 23.5,+19 52
NGC3242,nebula,8.6,40'',10 24.8,-18 39
NGC3245,Galaxy,10.8,3.5',10 27.3,+28 30
NGC3277,Galaxy,11.7,2.1',10 32.9,+28 31
NGC3294,Galaxy,11.8,3.4',10 36.3,+37 19
NGC3310,Galaxy,10.8,2.8',10 38.8,+53 30
NGC3344,Galaxy,9.9,7.1',10 43.5,+24 55
NGC3359,Galaxy,10.6,7.5',10 46.6,+63 13
NGC3372,nebula,3,120',10 45.1,-59 52
NGC3377,Galaxy,10.4,4.3',10 47.7,+13 59
NGC3384,Galaxy,9.9,5.4',10 48.3,+12 38
NGC3395,Galaxy,12.1,1.7',10 49.8,+32 59
NGC3412,Galaxy,10.5,3.7',10 50.9,+13 25
NGC3414,Galaxy,11,3.6',10 51.3,+27 58
NGC3432,Galaxy,11.3,6.6',10 52.5,+36 37
NGC3486,Galaxy,10.5,6.8',11 00.4,+28 59
NGC3489,Galaxy,10.3,3.6',11 00.3,+13 54
NGC3504,Galaxy,11,2.7',11 03.2,+27 58
NGC3521,Galaxy,9,11.2',11 05.8,-00 02
NGC3532,cluster,3,50',11 05.2,-58 44
NGC3593,Galaxy,10.9,4.9',11 14.6,+12 49
NGC3607,Galaxy,9.9,4.6',11 16.9,+18 03
NGC3608,Galaxy,10.8,3.5',11 17.0,+18 09
NGC3610,Galaxy,10.8,2.5',11 18.4,+58 47
NGC3613,Galaxy,10.9,3.6',11 18.6,+58 00
NGC3619,Galaxy,11.5,3.5',11 19.4,+57 45
NGC3621,Galaxy,9.7,12.4',11 18.3,-32 49
NGC3626,Galaxy,11,3.2',11 20.1,+18 21
NGC3628,Galaxy,9.5,13.1',11 20.3,+13 35
NGC3631,Galaxy,10.4,5',11 21.0,+53 10
NGC3640,Galaxy,10.4,4.5',11 21.1,+03 14
NGC3655,Galaxy,11.6,1.5',11 22.9,+16 35
NGC3665,Galaxy,10.8,3.5',11 24.7,+38 46
NGC3675,Galaxy,10.2,6.2',11 26.1,+43 35
NGC3686,Galaxy,11.3,3.1',11 27.7,+17 13
